Date,Stock,Headline,Sentiment,Confidence,Entities,Matched Stocks,Link
2025-11-15,Reliance Industries,RIL shares fall over 2% post Q1 results; analysts say it missed estimates despite impressive numbers - Upstox,NEGATIVE,1.0,"RIL, Upstox",,https://news.google.com/rss/articles/CBMi7AFBVV95cUxQWm4tbUticVZsclpKR0w5NXVtbzl3NG5KeG5YbEU3VzJzYmxoQzlFR1F1bS1MX3ZmenZyeHNtNzFITW12SkdaR19aa1JjTEd5eTJKVjI4TkZ1ZnhwN3VxZFJzdXN6c2RHMVB0RHk3WnhaajhLT0dlejM3d2tzcHN3ZmpINXVIVWxPcjV0Wm1Vd3ExSW5QSDJkMWxYSU05Z1k0RzVWc1FGRTN3UGpnQ1p4VlhDQk54OTVUQnR3YWxXNTFhTEtBWmliM1pfVnU3cGpHQ3MtLUpJbjhZTkFuZE8zQlR1RExWNnZCRzdCVQ?oc=5
2025-11-15,Reliance Industries,What Valuation Gaps Could Correct in Reliance Industries Limited Stock Price - Value Stock Picks & Minimal Capital Investment - earlytimes.in,NEGATIVE,0.993,Reliance Industries Limited,reliance industries,https://news.google.com/rss/articles/CBMiuAFBVV95cUxQMVVwaWxhVGlRalI2RmFEQ3F3TjZ4cjNjVGNTMHJ2d0F3Q3R1YUxwd0tnbjJlZ2ZqanU2OUd0dmNBa0xWQUpvTm1FWDZDcDZNc29VbUlVWXVZSUpReXVZU3FGaXgzVDMwTnNqSkt1LTdkSzU2SEktREx4TDJnX2l3amNvVXdsd3BaMjFMLWdwQ1kwWklMTXd0bG1aaEFpSW03Qzl0UmVHVERKd2JtdUpjWERjdjAxcWNo?oc=5
2025-11-15,Reliance Industries,Reliance Industries' HR chief Ira Bindra named among world's top CHROs - Business Standard,POSITIVE,0.999,"Reliance Industries, Business Standard",reliance industries,https://news.google.com/rss/articles/CBMi1AFBVV95cUxQaTQ4ak1oNUFTc1hYZTBGWFRUWDRhaXJaRFdHZ1h6TDBFWllhT0lBM0ItWnBPWEFQSHZOVHJRdFFTV3l0akc1el9yVDJOOHl3Qlh4N25RVXVZVU16VktLcXZVcU00dmtJLVNXMzZ3TDAzTEFxUENYd1k3bFlJeE9QV1YtcG9JMkxMRGhsR2VXNGMzbVliSGViNVMtUUdyd3VPc0FPV0VYRWxuUFdMRTdCNlVhc2VjUldIMUtIbGlNWXQ3eUNsOUhSZUVoLV8tYjNJSFFPM9IB2gFBVV95cUxNcE5XRHhyRU5GTXhEYkJ6RmY1djlyT0pIQktyVm4zT1RvQm45YmREN3ZuOVpYTHlvdXBoTm95cTNWdGVoZThVd0hWejhfRFNFdVdhX3d1SEVsanRNck93ZGMwVkJzUmhndG9wN0NaS3MtbUZpbHJ0QThLN2d0SUV1dHpESHZnMi1OdjlnaU5vSldxVTJ2Y0RHVHNLSGVwMHJpam8yekdhUG9oMG1TYkFfbk84UjIzZFo1aWc2WW9ySmxINnNORDdlR09pY1FIRjJUeVhTWTItbDBTdw?oc=5
2025-11-15,Reliance Industries,"Reliance Industries' Call Options Surge with 17,725 Contracts at Rs 1,520 Strike Price - Markets Mojo",POSITIVE,0.93,Reliance Industries,reliance industries,https://news.google.com/rss/articles/CBMi2AFBVV95cUxNc2REMXkwSE9qWHpMcEFBSVQ5eDkwVG1KR3ExSTlnXzRiSE5JRGRGckJIOS1aeDkteUlIeVJJdTdXTkczak1IcndwYnRXbHhMc0kwb1lwSmtPWmpqQVlzVjkwaFJyVjc1THk0YjlFbXVxREtnS1Y1NVo3ZWIxRjFpN1NHdS1oMUVGdDgwSEx3aTI2eFVmN2Z3eXFyd3BrTWg0MVpKVWxRNWk2aUJhVllsWC1PZlRRLW1jUDBRR2tLb2VnWTNkOUZ3M3VFaXYxdXNpck51b1U4a3Y?oc=5
2025-11-15,Reliance Industries,Reliance Industries Unveils Plans for 1 GW Data Center in Andhra Pradesh - scanx.trade,NEGATIVE,0.949,"Reliance Industries, ##W Data Center",reliance industries,https://news.google.com/rss/articles/CBMi0wFBVV95cUxPaHZMSktuSWZRX2Z0cWstcUdjSGkzQ05TUkdwMnpyenZad0FnMF9YN29UcnMyQUpjZmhkdnNOUTZnZzJ1Z1ZTZ2NhMi1LMEhwaVBlSy12TWNjTERiNGNQazJ6VVlwa1dGX2xuaWExN2dmYzRUdkZPRTNHWkI4UHlNNk1wc2p6ZzlGYnhkZ3lzU1Npa25DeWdTTTM2bnhPTnd4bzVlcXlNekh3SkhBaE8xSG8tNXFSR3hleFlJaG9xbGRGUl9oUGZKSUtBN3JhdHpOY044?oc=5
2025-11-15,Reliance Industries,Reliance to set up 1-GW AI data centre in Andhra Pradesh - financialexpress.com,NEGATIVE,0.991,"Reliance, ##express, com",,https://news.google.com/rss/articles/CBMisAFBVV95cUxPNUwyaE5ScFZnY0tmbklDWmlXM3VpLVRtbm05OUQ1RTZab2NVQ2MxNHVJXzFPUjVVV0dseGd6MWN6THo4cTBLQXdkSVl5UWYtaXMycEFaNkloWG4zZ1B5Sko0cWkxUXBhREJjaW84aThaTXpabGdmMkp2UjRKZDZucnFaczR1UDZhM25fVEszd3g0ZkthbU5fOWRpSjRDek44dFRwRjZBNFVtN05rRmRLYtIBtwFBVV95cUxOdGE3bHU1cUF4OUNINGs5Rk5CZ3FsM21DS3ZMdms2R1V6amM3OGNPMEV4b3NtWGlPNXhfMWFPT1RlaG1mU2JpaTNSbkMwT28zY1ZhYVZLV0pOaE50RWVWeEpwZEZOeURBek1mTmllaEFCYjFMd3hxNnQ4bU1EMUw5X1VILU9vdGxobG0zMVpMN0lNbFZOby1kY1RXY1JPMEFXSUFuak5WVnVpMENPVFdCRWdzWGQzUEk?oc=5
2025-11-15,Reliance Industries,Reliance Industries inks MoU with Andhra Pradesh govt to set up 1 GW AI data centre - Moneycontrol,NEGATIVE,0.983,"Reliance Industries, Moneycontrol",reliance industries,https://news.google.com/rss/articles/CBMi6gFBVV95cUxQZ19pSHRMVEFINWVRemk2TUxkbTE5OWpXNGEyZHF4Q1dUMHhaM2pMVE90c1ktaGpYY3pxaFh4c1UtdDdhWWM4SzFDOHJLVnZfc0x3cngwVm0tQllFVGNhbGIxUDJzUTk2aTNXNGwtVXRlNE5VeDZONjlmYjZ3NENVVjI3YU9tSGg3ZEpZWUpGYVFnazg0QmpxTUhiVFFkNXFrZlBnV19WWlZHejhKanQzbVdySmhqZ0drR2V3OS1zcm5UU25ZbkJJWWJfVXpuZUZIOHpyZTBXQkN6VXVQS1dycW5VNS16Y2NaYXfSAeoBQVVfeXFMUGdfaUh0TFRBSDVlUXppNk1MZG0xOTlqVzRhMmRxeENXVDB4WjNqTFRPdHNZLWhqWGN6cWhYeHNVLXQ3YVljOEsxQzhyS1Z2X3NMd3J4MFZtLUJZRVRjYWxiMVAyc1E5NmkzVzRsLVV0ZTROVXg2TjY5ZmI2dzRDVVYyN2FPbUhoN2RKWVlKRmFRZ2s4NEJqcU1IYlRRZDVxa2ZQZ1dfVlpWR3o4Smp0M21XckpoamdHa0dldzktc3JuVFNuWW5CSVliX1V6bmVGSDh6cmUwV0JDelV1UEtXcnFuVTUtemNjWmF3?oc=5
2025-11-15,Reliance Industries,"Stock Market LIVE: Sensex Surges 600 Points, Nifty Rises 0.7% As RIL, Airtel Shares Lead - MSN",POSITIVE,0.847,"Sensex, Nifty, RIL, Airtel, MSN",,https://news.google.com/rss/articles/CBMigANBVV95cUxQbm1ZbDBlYVJrenU0RXdnVFRDQ0pWQnZBd3hlNmg3bWUtTVhyRC0yRFVfZ2tYV190ZDJUV19TWEVLeFltai1aeXI3VlJJd28xUUlvcjhKWF9SeldtS29oY1dESW1YRzl3UDZDU3BkZmtVOUYtc19TMDVOR0hJZ0FqU0lHUlRsZUJLTUhiM0hucVdac0h6NlZNTFVUaEFYbDhMdHc1NTZEZ3gwUVo3MkkzUGlTeDhXWVJ2Zks1R1c0ekx0dVl6U3FwXy1lenFBVUp1OEl0Ym9qN1NnNXF5T194Y0k3OTY2enBodzFVclFaSkphc0R2ZU5tS3E2YUg2d1BtaVlfazVLTGJLanJIOGdMdEVpbjNVRGhxRlcwb3phbW1INzNleThTNXY0V0QtbE0xWjdPMmdfX0tkTWlXMkFqaHhzYmNraFI5dUJiRWJrTUZRUllNa2UzdVpzSUdKUXRIb24wZVF0QTJzZ1o4SXQ0TnRnNC1waEpQOV9kUjM2eHM?oc=5
2025-11-15,Reliance Industries,"JioBlackRock Mutual Fund: HDFC Bank, RIL, and ITC among top 10 stock holdings in October - The Economic Times",POSITIVE,0.825,"JioBlackRock Mutual Fund, HDFC Bank, RIL, ITC, The Economic Times","hdfc bank, itc",https://news.google.com/rss/articles/CBMi8AFBVV95cUxOMjJoeVdGZ2E2X0diMnJrVFVkemxkYkpoVUdVb0dGUTM5Y3N5d25XODBBcjB3T19vYnBQcWhVX2lYc1dmRlRqQ2s3akZCUDJmT3hLTGd3Z19pVFRDemxWSlpwQkJOV005bEEwN3ROcExCZmR4T09ZLU01Vkdodk9xU2hYUnBIRmpablpMTDFWcWVJRVZxaTdrZHBxU1RuZTloQ0w0M2tEOHhUTGY4bUF1QnlCY3JQYUd4WFhpVkZZUTdUQWVrMkZLazlURGlWT281RW9HenhPM2QySUNESVNUUDJYWkNqSnU3TmxJcWt0VW0?oc=5
2025-11-15,Reliance Industries,Reliance Industrial Infrastructure Faces Mixed Technical Signals Amid Market Volatility - Markets Mojo,NEGATIVE,0.997,Reliance Industrial Infrastructure,,https://news.google.com/rss/articles/CBMihAJBVV95cUxOWGZHY2I2Y3VHQXlpRl8xaTNuQkNLSDR0SVZ2d01Qcnhhc19MOGRhTGYtQmtFTlNmX2dpREIwR1N3X0p4M01qTG9ZaFI3cjV5ODZMbEItVmlhVi1hV05XemF6aDg4alFVc2NtSjdWbWtuZUUyLXRCTGhFelhJRjZuMEZueVBhNmlCQW4wNTBtTUFMYXpHNVVIcEQwazNmNnVWWkpMOWRpV2kxNVN2WUIyaWlnYW1RV0RVZ19ObEpsVUNEelBsaXdOdGJTSWdiWnI0LXA2cGQzOHFfVzJXRUV1VzdOLVozMmFQY2xaQ1YyaXNLenRHLWdfR0xQbGNmdndVUkpybw?oc=5
